2063,22,44,288,U,1,28610583,,,,,,,,,,,,,,,,,,,,,,,,
2064,22,44,288,U,1,30388994,,,,,,,,,,,,,,,,,,,,,,,,
2065,22,44,288,U,1,31839804,,,,,,,,,,,,,,,,,,,,,,,,
2066,22,44,288,U,1,29390588,,,,,,,,,,,,,,,,,,,,,,,,
2067,22,44,288,U,1,33524615,,,,,,,,,,,,,,,,,,,,,,,,
2068,22,44,288,U,1,25131761,,,,,,,,,,,,,,,,,,,,,,,,
2069,22,44,288,U,1,26754171,,,,,,,,,,,,,,,,,,,,,,,,
2070,24,48,296,U,1,117905107,,,,,,,,,,,,,,,,,,,,,,,,
2071,24,48,296,U,1,111384000,,,,,,,,,,,,,,,,,,,,,,,,
2072,24,48,296,U,1,113256000,,,,,,,,,,,,,,,,,,,,,,,,
2073,24,48,296,S,1,2667599,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0
2074,24,48,296,U,1,112803599,,,,,,,,,,,,,,,,,,,,,,,,
2075,24,48,296,U,1,104177799,,,,,,,,,,,,,,,,,,,,,,,,
2076,24,48,296,S,1,93070600,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
2077,24,48,296,S,1,39873600,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0
2078,24,48,296,U,1,125891999,,,,,,,,,,,,,,,,,,,,,,,,
2079,24,48,296,S,1,70558800,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1
